2026-06-15 12:56:46 | WARNING | Imagem não encontrada: imagens\botao_incluir_fabrica.png
2026-06-15 12:56:47 | WARNING | Imagem não encontrada: imagens\botao_incluir_fabrica.png
2026-06-15 12:56:47 | WARNING | Imagem não encontrada: imagens\botao_incluir_fabrica.png
2026-06-15 12:56:48 | WARNING | Imagem não encontrada: imagens\botao_incluir_fabrica.png
2026-06-15 12:56:48 | WARNING | Imagem não encontrada: imagens\botao_incluir_fabrica.png
2026-06-15 12:56:49 | WARNING | Imagem não encontrada: imagens\botao_incluir_fabrica.png
2026-06-15 12:56:49 | WARNING | Imagem não encontrada: imagens\botao_incluir_fabrica.png
2026-06-15 12:56:50 | WARNING | Imagem não encontrada: imagens\botao_incluir_fabrica.png
2026-06-15 12:56:50 | WARNING | Imagem não encontrada: imagens\botao_incluir_fabrica.png
2026-06-15 12:56:51 | WARNING | Imagem não encontrada: imagens\botao_incluir_fabrica.png
2026-06-15 12:56:51 | WARNING | Imagem não encontrada: imagens\botao_incluir_fabrica.png
2026-06-15 12:56:52 | WARNING | Imagem não encontrada: imagens\botao_incluir_fabrica.png
2026-06-15 12:56:52 | WARNING | Imagem não encontrada: imagens\botao_incluir_fabrica.png
2026-06-15 12:56:53 | WARNING | Imagem não encontrada: imagens\botao_incluir_fabrica.png
2026-06-15 12:56:53 | WARNING | Imagem não encontrada: imagens\botao_incluir_fabrica.png
2026-06-15 12:56:54 | WARNING | Imagem não encontrada: imagens\botao_incluir_fabrica.png
2026-06-15 12:56:54 | WARNING | Imagem não encontrada: imagens\botao_incluir_fabrica.png
2026-06-15 12:59:01 | INFO    | ==================================================
2026-06-15 12:59:01 | INFO    |   NBS Agent iniciando...
2026-06-15 12:59:01 | INFO    | ==================================================
2026-06-15 12:59:01 | INFO    | ✓ Sistema pronto para automações.
2026-06-15 12:59:01 | INFO    | ⏰ Agendador iniciado — relatório às 08:00
2026-06-15 13:00:28 | INFO    | [1/1] Fábrica: 193613
2026-06-15 13:00:28 | WARNING | Imagem não encontrada: imagens\botao_incluir_fabrica.png
2026-06-15 13:00:29 | WARNING | Imagem não encontrada: imagens\botao_incluir_fabrica.png
2026-06-15 13:00:29 | WARNING | Imagem não encontrada: imagens\botao_incluir_fabrica.png
2026-06-15 13:00:30 | WARNING | Imagem não encontrada: imagens\botao_incluir_fabrica.png
2026-06-15 13:00:30 | WARNING | Imagem não encontrada: imagens\botao_incluir_fabrica.png
2026-06-15 13:00:31 | WARNING | Imagem não encontrada: imagens\botao_incluir_fabrica.png
2026-06-15 13:00:31 | WARNING | Imagem não encontrada: imagens\botao_incluir_fabrica.png
2026-06-15 13:00:32 | WARNING | Imagem não encontrada: imagens\botao_incluir_fabrica.png
2026-06-15 13:00:32 | WARNING | Imagem não encontrada: imagens\botao_incluir_fabrica.png
2026-06-15 13:00:33 | WARNING | Imagem não encontrada: imagens\botao_incluir_fabrica.png
2026-06-15 13:00:33 | WARNING | Imagem não encontrada: imagens\botao_incluir_fabrica.png
2026-06-15 13:00:34 | WARNING | Imagem não encontrada: imagens\botao_incluir_fabrica.png
2026-06-15 13:00:34 | WARNING | Imagem não encontrada: imagens\botao_incluir_fabrica.png
2026-06-15 13:00:35 | WARNING | Imagem não encontrada: imagens\botao_incluir_fabrica.png
2026-06-15 13:00:35 | WARNING | Imagem não encontrada: imagens\botao_incluir_fabrica.png
2026-06-15 13:00:36 | WARNING | Imagem não encontrada: imagens\botao_incluir_fabrica.png
